Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,HDZ965FBGMBOX,AMD,Phenom II X4 965,526,58.9,45339,https://cpu.userbenchmark.com/AMD-Phenom-II-X4-965/Rating/606
CPU,,Intel,Core i3-1005G1,527,58.8,14654,https://cpu.userbenchmark.com/SpeedTest/906918/IntelR-CoreTM-i3-1005G1-CPU---120GHz
CPU,,Intel,Xeon L5520,528,58.8,156,https://cpu.userbenchmark.com/SpeedTest/6285/IntelR-XeonR-CPU-----------L5520----227GHz
CPU,,Intel,Core i3-3220,529,58.8,63212,https://cpu.userbenchmark.com/SpeedTest/272/IntelR-CoreTM-i3-3220-CPU---330GHz
CPU,,Intel,Xeon E5-2620 0,530,58.8,2897,https://cpu.userbenchmark.com/SpeedTest/5895/IntelR-XeonR-CPU-E5-2620-0---200GHz
CPU,,AMD,FX-8120,531,58.7,24350,https://cpu.userbenchmark.com/SpeedTest/173/AMD-FXtm-8120-Eight-Core-Processor
CPU,,Intel,Core i3-2130,532,58.6,7163,https://cpu.userbenchmark.com/SpeedTest/424/IntelR-CoreTM-i3-2130-CPU---340GHz
CPU,,Intel,Core i3-10110U,533,58.6,5372,https://cpu.userbenchmark.com/SpeedTest/915083/IntelR-CoreTM-i3-10110U-CPU---210GHz
CPU,HDT55TFBGRBOX,AMD,Phenom II X6 1055T,534,58.5,23123,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1055T/Rating/2003
CPU,,Intel,Core i7-2670QM,535,58.4,46116,https://cpu.userbenchmark.com/Intel-Core-i7-2670QM/Rating/1982
CPU,,Intel,Core i7-5550U,536,58.4,97,https://cpu.userbenchmark.com/SpeedTest/203876/IntelR-CoreTM-i7-5550U-CPU---200GHz
CPU,,Intel,Pentium G3460,537,58.3,1080,https://cpu.userbenchmark.com/Intel-Pentium-G3460/Rating/2818
CPU,,Intel,Core i7-7500U,538,58.3,131557,https://cpu.userbenchmark.com/SpeedTest/171274/IntelR-CoreTM-i7-7500U-CPU---270GHz
CPU,,Intel,Xeon X5470,539,58.3,1377,https://cpu.userbenchmark.com/SpeedTest/14102/IntelR-XeonR-CPU-----------X5470----333GHz
CPU,YD3000C6FHBOX,AMD,Athlon 3000G,540,58.3,7320,https://cpu.userbenchmark.com/SpeedTest/968952/AMD-Athlon-3000G-with-Radeon-Vega-Graphics
CPU,FD4300WMHKBOX,AMD,FX-4300,541,58.2,51446,https://cpu.userbenchmark.com/AMD-FX-4300/Rating/2879
CPU,,Intel,Core i3-3210,542,58.2,6301,https://cpu.userbenchmark.com/SpeedTest/3090/IntelR-CoreTM-i3-3210-CPU---320GHz
CPU,,AMD,FX-4170 Quad-Core,543,58.2,4261,https://cpu.userbenchmark.com/SpeedTest/114/AMD-FXtm-4170-Quad-Core-Processor
CPU,,Intel,Core i3-2120,544,58.1,68173,https://cpu.userbenchmark.com/SpeedTest/2227/IntelR-CoreTM-i3-2120-CPU---330GHz
CPU,YD220GC6FBBOX,AMD,Athlon 220GE,545,58,476,https://cpu.userbenchmark.com/SpeedTest/700311/AMD-Athlon-220GE-with-Radeon-Vega-Graphics
CPU,HDZ955FBGMBOX,AMD,Phenom II X4 955,546,58,35105,https://cpu.userbenchmark.com/AMD-Phenom-II-X4-955/Rating/2935
CPU,,Intel,Core i5-3470T,547,58,3024,https://cpu.userbenchmark.com/SpeedTest/2220/IntelR-CoreTM-i5-3470T-CPU---290GHz
CPU,,AMD,A10-6790K APU (2013 D.Ri),548,57.9,1926,https://cpu.userbenchmark.com/SpeedTest/13499/AMD-A10-6790K-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i3-8145U,549,57.9,12031,https://cpu.userbenchmark.com/SpeedTest/616038/IntelR-CoreTM-i3-8145U-CPU---210GHz
CPU,,Intel,Core i7-2675QM,550,57.9,954,https://cpu.userbenchmark.com/SpeedTest/597/IntelR-CoreTM-i7-2675QM-CPU---220GHz
CPU,,Intel,Core i7-4600M,551,57.8,5793,https://cpu.userbenchmark.com/SpeedTest/4429/IntelR-CoreTM-i7-4600M-CPU---290GHz
CPU,,Intel,Core X 920,552,57.8,69,https://cpu.userbenchmark.com/SpeedTest/7179/IntelR-CoreTM-CPU----------X-920----200GHz
CPU,,AMD,Phenom II X4 960T,553,57.7,3947,https://cpu.userbenchmark.com/SpeedTest/1813/AMD-Phenomtm-II-X4-960T-Processor
CPU,,AMD,FX-6120 Six-Core,554,57.6,1622,https://cpu.userbenchmark.com/SpeedTest/7026/AMD-FXtm-6120-Six-Core-Processor
CPU,FF8062700837005,Intel,Core i7-2630QM,555,57.6,34106,https://cpu.userbenchmark.com/Intel-Core-i7-2630QM/Rating/2729
CPU,,Intel,Core i5-4200H,556,57.5,9718,https://cpu.userbenchmark.com/SpeedTest/8854/IntelR-CoreTM-i5-4200H-CPU---280GHz
CPU,BX80646G3440,Intel,Pentium G3440,557,57.5,498,https://cpu.userbenchmark.com/Intel-Pentium-G3440/Rating/2435
CPU,,AMD,Ryzen 5 3550H,558,57.5,51097,https://cpu.userbenchmark.com/SpeedTest/718601/AMD-Ryzen-5-3550H-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i7-7600U,559,57.5,10972,https://cpu.userbenchmark.com/SpeedTest/220838/IntelR-CoreTM-i7-7600U-CPU---280GHz
CPU,,AMD,Phenom II X4 B55,560,57.4,3638,https://cpu.userbenchmark.com/SpeedTest/878/AMD-Phenomtm-II-X4-B55-Processor
CPU,,AMD,Phenom II X4 20,561,57.4,657,https://cpu.userbenchmark.com/SpeedTest/4534/AMD-Phenomtm-II-X4-20-Processor
CPU,,Intel,Core i7-4558U,562,57.4,732,https://cpu.userbenchmark.com/SpeedTest/4092/IntelR-CoreTM-i7-4558U-CPU---280GHz
CPU,,Intel,Core i7-3540M,563,57.4,5274,https://cpu.userbenchmark.com/SpeedTest/921/IntelR-CoreTM-i7-3540M-CPU---300GHz
CPU,,Intel,Core i7-2635QM,564,57.3,311,https://cpu.userbenchmark.com/SpeedTest/12770/IntelR-CoreTM-i7-2635QM-CPU---200GHz
CPU,FJ8067703282227,Intel,Core i3-8130U,565,57.2,23329,https://cpu.userbenchmark.com/SpeedTest/468020/IntelR-CoreTM-i3-8130U-CPU---220GHz
CPU,,AMD,Phenom II X6 1045T,566,57.2,4888,https://cpu.userbenchmark.com/SpeedTest/1873/AMD-Phenomtm-II-X6-1045T-Processor
CPU,,Intel,Core i3-2100,567,57.1,52087,https://cpu.userbenchmark.com/SpeedTest/41/IntelR-CoreTM-i3-2100-CPU---310GHz
CPU,,Intel,Core i5-4258U,568,56.9,1172,https://cpu.userbenchmark.com/SpeedTest/5904/IntelR-CoreTM-i5-4258U-CPU---240GHz
CPU,,Intel,Core i5-5287U,569,56.9,379,https://cpu.userbenchmark.com/SpeedTest/25610/IntelR-CoreTM-i5-5287U-CPU---290GHz
CPU,,Intel,Core i5-7200U,570,56.9,201863,https://cpu.userbenchmark.com/SpeedTest/153577/IntelR-CoreTM-i5-7200U-CPU---250GHz
