Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,CMK16GX4M2A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,61,77.4,109177,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
RAM,F4-2400C15Q-32GVR,G.SKILL,Ripjaws V DDR4 2400 C15 4x8GB,62,77.1,6041,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-4x8GB/Rating/3568
RAM,BLS2K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x8GB,63,76.4,3380,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x8GB/Rating/3611
RAM,CMK32GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x16GB,64,76.2,7564,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB
RAM,CMR16GX4M2A2666C16,Corsair,Vengeance RGB DDR4 2666 C16 2x8GB,65,76.1,8660,https://ram.userbenchmark.com/SpeedTest/282283/Corsair-CMR16GX4M2A2666C16-2x8GB
RAM,BLS2K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,66,76,8285,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,66,76,8285,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,66,76,8285,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,CMK8GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x4GB,67,76,16041,https://ram.userbenchmark.com/SpeedTest/90467/Corsair-Vengeance-LPX-CMK8GX4M2A2666C16-2x4GB
RAM,F3-2400C10Q-32GTX,G.SKILL,TridentX DDR3 2400 C10 4x8GB,68,75.4,5615,https://ram.userbenchmark.com/SpeedTest/89345/GSKILL-F3-2400C10-8GTX-4x8GB
