Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,47,256,1321,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),48,248,6626,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),49,248,88748,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,50,246,303,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,51,244,67607,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,52,241,2360,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,53,241,36171,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,54,240,1246,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),55,240,3957,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,56,239,5186,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,57,239,81140,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,57,239,81140,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,58,238,27846,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,59,237,95766,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,60,234,6241,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,61,232,5751,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,62,232,129129,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,63,232,27145,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,64,232,14496,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,65,231,3086,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,66,230,8658,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),67,230,20359,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,68,227,14372,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,69,227,729,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,70,227,2605,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,71,226,1059,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,72,225,8464,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,73,223,12690,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,74,222,46245,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,75,219,129501,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,76,218,30247,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,77,216,2172,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,78,214,63424,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,79,213,31265,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,80,213,153950,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,81,208,57,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,MZ-V8V250B,Samsung,980 NVMe PCIe M.2 250GB,82,206,917,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,83,205,69772,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,84,201,1948,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),85,200,10978,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,86,199,10125,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,87,198,36586,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,88,197,202854,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,89,196,40293,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,90,196,2403,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,91,196,30328,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,92,194,358,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,93,193,149103,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,94,192,103,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,95,191,6216,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,96,190,16396,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,97,190,8313,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,97,190,8313,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),98,189,8341,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,99,188,225,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,100,188,8788,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,,Intel,Optane+ NVMe PCIe 500GB,101,187,1505,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,102,186,17896,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,103,186,86788,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,104,185,4844,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,105,185,65668,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,106,184,12200,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
