"brand","model","cores","base_clock","boost_clock","tdp","integrated_graphics","multithreading","price"
"AMD","Athlon X4 870K",4,"{\"cycles\":3900000000}","{\"cycles\":4099999999}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 880K",4,"{\"cycles\":4000000000}","{\"cycles\":4200000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 940",4,"{\"cycles\":3200000000}","{\"cycles\":3600000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 950",4,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,null,false,"[\"USD\",\"145.00\"]"
"AMD","Athlon X4 970",4,"{\"cycles\":3800000000}","{\"cycles\":4000000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","E-Series E-450",2,"{\"cycles\":1650000000}",null,18,null,false,"[\"USD\",\"0.00\"]"
"AMD","E2-3200",2,"{\"cycles\":2400000000}",null,65,"Radeon HD 6370D",false,"[\"USD\",\"0.00\"]"
"AMD","FX-4100",4,"{\"cycles\":3600000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4130",4,"{\"cycles\":3800000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4150",4,"{\"cycles\":4000000000}","{\"cycles\":4099999999}",125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4170",4,"{\"cycles\":4200000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4200",4,"{\"cycles\":3300000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4300",4,"{\"cycles\":3800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4320",4,"{\"cycles\":4000000000}","{\"cycles\":4200000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-4350",4,"{\"cycles\":4200000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-6100",6,"{\"cycles\":3300000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-6120",6,"{\"cycles\":3500000000}","{\"cycles\":4099999999}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-6130",6,"{\"cycles\":3600000000}","{\"cycles\":3900000000}",125,null,false,"[\"USD\",\"0.00\"]"
